title,year,authors,affiliations,journal,citations,keywords,affiliation_missing,source,doi,kc_relevant,author_keywords,index_keywords,all_keywords
Outcomes of sutured scleral-fixated intraocular lens implantation combined with penetrating keratoplasty,2024,Almulhim A.; Alsarhani W.K.; Alanazi B.; Alfaleh A.; Aljindan M.; Al Malawi R.M.; Al-Somali A.,"Department of Ophthalmology, College of Medicine, Jouf University, Sakakah, Al-Jouf, Saudi Arabia; Department of Ophthalmology and Vision Sciences, University of Toronto, 340 College Street, Toronto, M5T 3A9, ON, Canada; Department of Ophthalmology, King Faisal Specialist Hospital & amp; Research Centre, Riyadh, Saudi Arabia; Department of Ophthalmology, College of Medicine, Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia; College of Computer and Information Sciences, Princess Nourah Bint Abdulrahman University, Riyadh, Saudi Arabia; Department of Ophthalmology, College of Medicine, King Faisal University, Al-Ahsa, Saudi Arabia",BMC Ophthalmology,1,Corneal transplant; Keratoplasty; Scleral-fixated lens implant,False,Scopus,10.1186/s12886-024-03603-6,True,Corneal transplant; Keratoplasty; Scleral-fixated lens implant,"Adult; Aged; Corneal Diseases; Female; Follow-Up Studies; Humans; Keratoplasty, Penetrating; Lens Implantation, Intraocular; Lenses, Intraocular; Male; Middle Aged; Postoperative Complications; Retrospective Studies; Sclera; Suture Techniques; Treatment Outcome; Visual Acuity; adult; aged; cornea disease; female; follow up; human; lens implant; lens implantation; male; middle aged; penetrating keratoplasty; postoperative complication; procedures; retrospective study; sclera; surgery; suture technique; treatment outcome; visual acuity","corneal transplant; keratoplasty; scleral-fixated lens implant; adult; aged; corneal diseases; female; follow-up studies; humans; keratoplasty, penetrating; lens implantation, intraocular; lenses, intraocular; male; middle aged; postoperative complications; retrospective studies; sclera; suture techniques; treatment outcome; visual acuity; cornea disease; follow up; human; lens implant; lens implantation; penetrating keratoplasty; postoperative complication; procedures; retrospective study; surgery; suture technique"
Intraoperative Optical Coherence Tomography (OCT)-Guided Femtosecond Laser-Assisted Descemet Membrane Endothelial Keratoplasty (iFAD),2024,Lim J.; Abusayf M.M.; Liu Y.-C.; Mehta J.S.,"Singapore National Eye Center, Singapore, 168751, Singapore; Singapore Eye Research Institute, Singapore, 169856, Singapore; Department of Ophthalmology, College of Medicine, King Saud University, Riyadh, 11362, Saudi Arabia; Ophthalmology and Visual Sciences Academic Clinical Programme, Duke-NUS Medical School, Singapore, 169857, Singapore",Bioengineering,1,corneal surgery; femtosecond laser; intraoperative optical coherence tomography,False,Scopus,10.3390/bioengineering11121192,True,corneal surgery; femtosecond laser; intraoperative optical coherence tomography,,corneal surgery; femtosecond laser; intraoperative optical coherence tomography
Scheimpflug Tomography as a Predictor of Corneal Edema After Phacoemulsification in Fuchs Endothelial Corneal Dystrophy,2024,Eleiwa T.K.; Abd El-Azim Mohammed M.; Bayoumy A.S.M.,"Department of Ophthalmology, Benha University, Benha, Egypt; Department of Ophthalmology, Magrabi Eye and Dental Hospital, Qassim, Saudi Arabia; Department of Ophthalmology, Mansoura Ophthalmic hospital, Mansoura, Egypt",Clinical Ophthalmology,1,cataract surgery; corneal edema; Fuchs endothelial corneal dystrophy; pentacam; phacoemulsification; Scheimpflug tomography,False,Scopus,10.2147/OPTH.S474788,True,cataract surgery; corneal edema; Fuchs endothelial corneal dystrophy; pentacam; phacoemulsification; Scheimpflug tomography,dexamethasone; tobramycin; adult; aged; anterior corneal surface; Article; case control study; cataract; cataract extraction; central corneal thickness; clinical article; clinical feature; controlled study; cornea; cornea edema; corneal thickness; depression; edema; endothelial keratoplasty; female; Fuchs endothelial dystrophy; human; male; observational study; pachymetry; phacoemulsification; prospective study; scheimpflug tomography; slit lamp microscopy; thinnest corneal thickness; tomography; visual acuity; visual impairment,cataract surgery; corneal edema; fuchs endothelial corneal dystrophy; pentacam; phacoemulsification; scheimpflug tomography; dexamethasone; tobramycin; adult; aged; anterior corneal surface; article; case control study; cataract; cataract extraction; central corneal thickness; clinical article; clinical feature; controlled study; cornea; cornea edema; corneal thickness; depression; edema; endothelial keratoplasty; female; fuchs endothelial dystrophy; human; male; observational study; pachymetry; prospective study; slit lamp microscopy; thinnest corneal thickness; tomography; visual acuity; visual impairment
"One-Step Intraoperative Optical Coherence Tomography Guided Tunnel, Mushroom Femtosecond Laser Big Bubble Deep Anterior Lamellar Keratoplasty",2024,Abusayf M.M.; Liu Y.-C.; Han E.; Yu I.L.X.; Riau A.K.; Mehta J.S.,"Department of Ophthalmology, College of Medicine, King Saud University, Riyadh, 11362, Saudi Arabia; Cornea and External Eye Disease Service, Singapore National Eye Center, Singapore, 168751, Singapore; Tissue Engineering and Cell Therapy Group, Singapore Eye Research Institute, Singapore, 169856, Singapore; Ophthalmology Academic Clinical Program, Duke-NUS Graduate Medical School, Singapore, 169857, Singapore",Bioengineering,3,deep anterior lamellar keratoplasty; femtosecond laser; intraoperative optical coherent tomography; intrastromal tunnel; mushroom configuration,False,Scopus,10.3390/bioengineering11070639,True,deep anterior lamellar keratoplasty; femtosecond laser; intraoperative optical coherent tomography; intrastromal tunnel; mushroom configuration,,deep anterior lamellar keratoplasty; femtosecond laser; intraoperative optical coherent tomography; intrastromal tunnel; mushroom configuration
"Pediatric keratoconus in a tertiary eye hospital in Eastern province, Saudi Arabia: Patient characteristics and management outcomes",2024,"Alhazmi A, Alsomali A, Algarni S, Althumairi A.",,Saudi J Ophthalmol,0,,True,PubMed,10.4103/sjopt.sjopt_169_24,True,Corneal collagen cross‑linking; DLK; keratoconus; keratoconus severity; pediatric; penetrating keratoplasty,adolescent; anterior eye chamber depth; Article; best corrected visual acuity; clinical feature; clinical outcome; cohort analysis; controlled study; corneal crosslinking; corneal thickness; corneal tomography; deep lamellar endothelial keratoplasty; disease classification; disease severity assessment; family history; female; groups by age; human; keratoconus; keratometry; knowledge base; lens implantation; major clinical study; male; medical record review; penetrating keratoplasty; quality of life; refraction error; retrospective study; risk factor; Saudi Arabia; spherical equivalent; staging; tertiary care center; treatment outcome; uncorrected visual acuity; vernal conjunctivitis; visual disorder,corneal collagen cross‑linking; dlk; keratoconus; keratoconus severity; pediatric; penetrating keratoplasty; adolescent; anterior eye chamber depth; article; best corrected visual acuity; clinical feature; clinical outcome; cohort analysis; controlled study; corneal crosslinking; corneal thickness; corneal tomography; deep lamellar endothelial keratoplasty; disease classification; disease severity assessment; family history; female; groups by age; human; keratometry; knowledge base; lens implantation; major clinical study; male; medical record review; quality of life; refraction error; retrospective study; risk factor; saudi arabia; spherical equivalent; staging; tertiary care center; treatment outcome; uncorrected visual acuity; vernal conjunctivitis; visual disorder
Implantable Collamer Lens for Visual Rehabilitation in keratoconus - A Narrative Review of Visual and Refractive Outcomes,2024,Fairaq R.; Helayel H.B.; Abdulhadi H.; Almuwarraee S.M.; Almatrafi S.A.; Alruwaili R.; AlDahan D.; Hameed S.T.; AlShehri M.; AlMutlak M.,"Anterior Segment Division, King Khaled Eye Specialist Hospital, Riyadh, Saudi Arabia; Ministry of Health, Madinah, Saudi Arabia; Department of Ophthalmology, King Abdulaziz Specialist Hospital, Al Jouf, Saudi Arabia; Khamis Mushait General Hospital, Khamis Mushait, Saudi Arabia",JFO Open Ophthalmology,1,Corneal crosslinking; Corneal ectasia; Intrastromal corneal ring segments; Keratoconus; Quality of life; Refractive surgery; Spectacle independence; Visual rehabilitation,False,Scopus,10.1016/j.jfop.2024.100131,True,Corneal crosslinking; Corneal ectasia; Intrastromal corneal ring segments; Keratoconus; Quality of life; Refractive surgery; Spectacle independence; Visual rehabilitation,,corneal crosslinking; corneal ectasia; intrastromal corneal ring segments; keratoconus; quality of life; refractive surgery; spectacle independence; visual rehabilitation
Artificial intelligence as diagnostic modality for keratoconus: A systematic review and meta-analysis,2024,"Afifah A, Syafira F, Afladhanti PM, Dharmawidiarini D.",,J Taibah Univ Med Sci,0,,True,PubMed,10.1016/j.jtumed.2023.12.007,True,,,artificial; artificial intelligence; diagnostic; diagnostic modality; intelligence; intelligence diagnostic; keratoconus; keratoconus systematic; meta-analysis; modality; modality keratoconus; systematic; systematic meta-analysis
Outcomes of Corneal Transplantation for Herpetic Keratitis: A Narrative Review,2024,Nardella M.; Yu A.C.; Busin M.; Rizzo R.; Zauli G.,"Department of Translational Medicine, University of Ferrara, Ferrara, 44121, Italy; Department of Ophthalmology, Ospedali Privati Forlì “Villa Igea”, Forlì, 47122, Italy; Istituto Internazionale per la Ricerca e Formazione in Oftalmologia (IRFO), Forlì, 47122, Italy; Department of Chemical, Pharmaceutical and Agricultural Sciences, Ferrara, 44121, Italy; Research Department, King Khaled Eye Specialist Hospital, Riyadh, 12329, Saudi Arabia",Viruses,4,cornea; deep anterior lamellar keratoplasty (DALK); herpes simplex virus (HSV); herpetic keratitis; mushroom keratoplasty (MK); penetrating keratoplasty (PK),False,Scopus,10.3390/v16091403,True,cornea; deep anterior lamellar keratoplasty (DALK); herpes simplex virus (HSV); herpetic keratitis; mushroom keratoplasty (MK); penetrating keratoplasty (PK),"Antiviral Agents; Corneal Transplantation; Humans; Keratitis, Herpetic; Keratoplasty, Penetrating; Simplexvirus; Treatment Outcome; antivirus agent; antiviral activity; clinical article; clinical outcome; complication; cornea; cornea disease; cornea transplantation; drug administration; drug therapy; herpes simplex; herpes simplex keratitis; Herpes simplex virus; human; keratoplasty; male; mushroom; oral drug administration; penetrating keratoplasty; review; scar formation; scar tissue; surgery; surgical technique; therapy; topical drug administration; penetrating keratoplasty; physiology; procedures; Simplexvirus; treatment outcome","cornea; deep anterior lamellar keratoplasty (dalk); herpes simplex virus (hsv); herpetic keratitis; mushroom keratoplasty (mk); penetrating keratoplasty (pk); antiviral agents; corneal transplantation; humans; keratitis, herpetic; keratoplasty, penetrating; simplexvirus; treatment outcome; antivirus agent; antiviral activity; clinical article; clinical outcome; complication; cornea disease; cornea transplantation; drug administration; drug therapy; herpes simplex; herpes simplex keratitis; herpes simplex virus; human; keratoplasty; male; mushroom; oral drug administration; penetrating keratoplasty; review; scar formation; scar tissue; surgery; surgical technique; therapy; topical drug administration; physiology; procedures"
Corneal imaging and densitometry measurements in patients with Fuchs’dystrophy undergoing penetrating keratoplasty and Descemet’s striping automated endothelial keratoplasty,2024,Alzahrani K.; Alshehri J.; Brahma A.; Carley F.; Hillarby M.C.,"Division of Pharmacy and Optometry, School of Health Sciences, University of Manchester, United Kingdom; Manchester Royal Eye Hospital, Manchester, United Kingdom; Optometry Department, King Fahad Armed Forces Hospital, Saudi Arabia; Department of Optometry, Al Baha University, Saudi Arabia",OphthaTherapy. Therapies in Ophthalmology,0,cornea; densitometry; dystrophy; endothelial; Fuchs; stroma,False,Scopus,10.24292/01.OT.212124,True,cornea; densitometry; dystrophy; endothelial; Fuchs; stroma,,cornea; densitometry; dystrophy; endothelial; fuchs; stroma
Using RGP Lens in a Keratoconic Down Syndrome Patient,2024,Alibrahim A.; Shajeri M.A.; Tawashi M.M.; Alagsam A.A.M.; Abulqusim E.M.; Ng Y.G.,"Department of Optometry, Ministry of Health, Jazan, Saudi Arabia; Faculty of Medicine, Jazan University, Jazan, Saudi Arabia; Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Selangor, Serdang, 43400, Malaysia",Springer Series in Design and Innovation,0,Down syndrome; healthcare ergonomics; keratoconus; rigid gas permeable lenses,False,Scopus,10.1007/978-3-031-60863-6_7,True,Down syndrome; healthcare ergonomics; keratoconus; rigid gas permeable lenses,,down syndrome; healthcare ergonomics; keratoconus; rigid gas permeable lenses
Rare Variants Residing in Novel Cis-Acting Element in Visual System Homeobox 1 and Their Contribution in the Pathogenesis of Keratoconus,2023,Alswailmi F.K.; Malik R.K.; Parrey M.U.R.; Siddiqi A.R.; Karimulla S.; Alanezi A.A.; Qamar R.; Azam M.; Ahmad A.,"Department of Pharmacy Practice, College of Pharmacy, University of Hafr Al Batin, Hafr Al-Batin, 39911, Saudi Arabia; Translational Genomics Laboratory, Department of Biosciences, COMSATS University Islamabad, Islamabad, 45600, Pakistan; Faculty of Medicine, Northern Border University, Arar, 91431, Saudi Arabia; Department of Pharmaceutics, College of Pharmacy, University of Hafr Al Batin, Hafr Al-Batin, 39911, Saudi Arabia; Pakistan Academy of Sciences, Islamabad, 45600, Pakistan; Science and Technology Sector, ICESCO, Rabat, 10104, Morocco",Applied Sciences (Switzerland),2,cis-acting elements; keratoconus; miRNA; rare variants; VSX1,False,Scopus,10.3390/app13084888,True,cis-acting elements; keratoconus; miRNA; rare variants; VSX1,,cis-acting elements; keratoconus; mirna; rare variants; vsx1
"Differences in Axial Length and Anterior Chamber Depth among Keratoconic, Myopic and Emmetropic Eyes",2023,Abdu M.; Gammoh Y.; Alla H.A.,"Faculty of Applied Medical Science, University of Jeddah, Saudi Arabia; Faculty of Optometry and Visual Science, University of Al-Neelain, Sudan; Faculty of Allied Medical Sciences, Al-Ahliyya Amman University, Amman, Jordan",Pakistan Journal of Ophthalmology,0,Anterior chamber depth; Axial length; Central corneal thickness; emmetropia; Keratoconus; myopia,False,Scopus,10.36351/pjo.v39i4.1607,True,Anterior chamber depth; Axial length; Central corneal thickness; emmetropia; Keratoconus; myopia,,anterior chamber depth; axial length; central corneal thickness; emmetropia; keratoconus; myopia
Role of HGF polymorphisms in the development of keratoconus in South Asian population,2023,Alswailmi F.K.,"Department of Pharmacy Practice, College of Pharmacy, University of Hafr Al Batin, Hafr Al Batin, Saudi Arabia",Electronic Journal of General Medicine,1,hepatocyte growth factor; keratoconus; sporadic keratoconus,False,Scopus,10.29333/ejgm/12700,True,hepatocyte growth factor; keratoconus; sporadic keratoconus,genomic DNA; scatter factor; adult; Article; blood sampling; cohort analysis; controlled study; corneal pachymetry; denaturation; DNA extraction; erythrocyte; female; gene frequency; genetic polymorphism; genotype; genotyping; haplotype; human; incubation time; keratoconus; keratometry; major clinical study; male; polymerase chain reaction restriction fragment length polymorphism; retrospective study; single nucleotide polymorphism; transillumination,hepatocyte growth factor; keratoconus; sporadic keratoconus; genomic dna; scatter factor; adult; article; blood sampling; cohort analysis; controlled study; corneal pachymetry; denaturation; dna extraction; erythrocyte; female; gene frequency; genetic polymorphism; genotype; genotyping; haplotype; human; incubation time; keratometry; major clinical study; male; polymerase chain reaction restriction fragment length polymorphism; retrospective study; single nucleotide polymorphism; transillumination
Quality of life of a sample of people with keratoconus in KSA,2023,Alatawi SK.,,J Taibah Univ Med Sci,0,,True,PubMed,10.1016/j.jtumed.2023.03.008,True,Corrected visual acuity; Cross-sectional study; Keratoconus outcomes research questionnaire (KORQ); Keratoconus stage; Quality of life; Visual acuity,adolescent; adult; Article; controlled study; cross-sectional study; demographics; female; health survey; human; keratoconus; major clinical study; male; outcome assessment; quality of life; visual acuity,corrected visual acuity; cross-sectional study; keratoconus outcomes research questionnaire (korq); keratoconus stage; quality of life; visual acuity; adolescent; adult; article; controlled study; demographics; female; health survey; human; keratoconus; major clinical study; male; outcome assessment
Corneal asphericity and its related factors,2023,Al-Somali A.; Abouollo H.M.; Al-Jindan M.; Alothman A.; Alhataln H.,"Department of Ophthalmology, King Faisal University, Alahsa, Saudi Arabia; Department of Ophthalmology, Dharan Eye Specialist Hospital, Dharan, Saudi Arabia; Department of Ophthalmology, Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia; Department of Ophthalmology, King Fahad Hospital, Hofuf, Saudi Arabia","Medical Hypothesis, Discovery, and Innovation in Ophthalmology",1,asphericity; corneas; Pentacam; Q value; reference value; refractive surgery,False,Scopus,10.51329/mehdiophthal1479,True,asphericity; corneas; Pentacam; Q value; reference value; refractive surgery,adult; Article; best corrected visual acuity; cornea; correlation coefficient; cross-sectional study; emmetropia; female; groups by age; human; hypermetropia; intraocular pressure; major clinical study; male; myopia; refraction error; refractive surgery; Saudi Arabia; slit lamp microscopy; tonometry,asphericity; corneas; pentacam; q value; reference value; refractive surgery; adult; article; best corrected visual acuity; cornea; correlation coefficient; cross-sectional study; emmetropia; female; groups by age; human; hypermetropia; intraocular pressure; major clinical study; male; myopia; refraction error; saudi arabia; slit lamp microscopy; tonometry
Dislocation of implantable collamer lens following blunt trauma,2023,Alsugayhi M.; Husain O.B.; Al-Swailem S.A.,"Anterior Segment Division, King Khaled Eye Specialist Hospital, Riyadh, Saudi Arabia; Ophthalmology Department, Prince Sultan Military Medical City, Riyadh, Saudi Arabia",American Journal of Ophthalmology Case Reports,3,Implantable collamer lens; Keratoplasty; Ocular trauma; Phakic intraocular lens; Specular microscopy,False,Scopus,10.1016/j.ajoc.2022.101768,True,Implantable collamer lens; Keratoplasty; Ocular trauma; Phakic intraocular lens; Specular microscopy,antibiotic agent; corticosteroid; adult; anterior eye chamber; Article; astigmatism; best corrected visual acuity; blunt trauma; blurred vision; case report; clinical article; conjunctival hyperemia; cornea; disease association; emergency ward; eye examination; eye injury; eye pain; eye surgery; follow up; high myopia; human; intraocular pressure; keratoconus; lens implantation; lens luxation; male; patient history of surgery; penetrating keratoplasty; photophobia; pigment cell; postoperative care; postoperative period; slit lamp microscopy; topical anesthesia; treatment duration; visual acuity; visual impairment,implantable collamer lens; keratoplasty; ocular trauma; phakic intraocular lens; specular microscopy; antibiotic agent; corticosteroid; adult; anterior eye chamber; article; astigmatism; best corrected visual acuity; blunt trauma; blurred vision; case report; clinical article; conjunctival hyperemia; cornea; disease association; emergency ward; eye examination; eye injury; eye pain; eye surgery; follow up; high myopia; human; intraocular pressure; keratoconus; lens implantation; lens luxation; male; patient history of surgery; penetrating keratoplasty; photophobia; pigment cell; postoperative care; postoperative period; slit lamp microscopy; topical anesthesia; treatment duration; visual acuity; visual impairment
Unilateral keratoconus associated with iridocorneal endothelial syndrome: Case report,2023,Kalantan HA.,,Saudi J Ophthalmol,0,,True,PubMed,10.4103/sjopt.sjopt_159_22,True,Iridocorneal endothelial syndrome; keratoconus; unilateral,adult; Article; Bowman membrane; case report; cell count; clinical article; clinical feature; cornea lesion; Descemet membrane; disease association; disease duration; disease exacerbation; endothelium cell; eye synechia; female; follow up; gonioscopy; histopathology; human; human tissue; intraocular pressure; iridocorneal endothelial syndrome; keratoconus; keratometry; penetrating keratoplasty; pupil disease; slit lamp microscopy; specular microscopy; treatment outcome; visual acuity; visual disorder,iridocorneal endothelial syndrome; keratoconus; unilateral; adult; article; bowman membrane; case report; cell count; clinical article; clinical feature; cornea lesion; descemet membrane; disease association; disease duration; disease exacerbation; endothelium cell; eye synechia; female; follow up; gonioscopy; histopathology; human; human tissue; intraocular pressure; keratometry; penetrating keratoplasty; pupil disease; slit lamp microscopy; specular microscopy; treatment outcome; visual acuity; visual disorder
Safety and efficacy of a laser refractive procedure in eyes with previous keratoplasty: Systematic review and meta-analysis,2023,Alsubhi A.H.; Alhindi N.; Abukhudair A.; Alsulami A.; Seraj H.; Morfeq H.,"Faculty of Medicine, King Abdulaziz University, Rabigh, Saudi Arabia; Department of Ophthalmology, King Abdulaziz University Hospital, Jeddah, Saudi Arabia; Department of Ophthalmology, King Abdulaziz University, Jeddah, Saudi Arabia",Journal of Cataract and Refractive Surgery,2,,False,Scopus,10.1097/j.jcrs.0000000000001256,True,,"Astigmatism; Corneal Transplantation; Eye; Humans; Refraction, Ocular; Vision Tests; Visual Acuity; adolescent; adult; adverse outcome; aged; astigmatism; clinical effectiveness; cornea transplantation; corrected distance visual acuity; human; keratoplasty; laser in situ keratomileusis; laser refractive surgery; meta analysis; outcome assessment; patient safety; photorefractive keratectomy; postoperative complication; Review; spherical equivalent; systematic review; visual acuity; astigmatism; cornea transplantation; eye; eye refraction; vision test","astigmatism; corneal transplantation; eye; humans; refraction, ocular; vision tests; visual acuity; adolescent; adult; adverse outcome; aged; clinical effectiveness; cornea transplantation; corrected distance visual acuity; human; keratoplasty; laser in situ keratomileusis; laser refractive surgery; meta analysis; outcome assessment; patient safety; photorefractive keratectomy; postoperative complication; review; spherical equivalent; systematic review; eye refraction; vision test"
Microsporidial Stromal Keratitis in Post-Keratoplasty Eyes,2023,Spena R.; Bovone C.; Ciarmatori N.; Pellegrini M.; Yu A.C.; Zauli G.; Busin M.,"Department of Translational Medicine, University of Ferrara, Ferrara, 44121, Italy; Department of Ophthalmology, Ospedali Privati Forlì “Villa Igea”, Forlì, 47122, Italy; Istituto Internazionale per la Ricerca e Formazione in Oftalmologia (IRFO), Forlì, 47122, Italy; Department of Environmental Sciences and Prevention, University of Ferrara, Ferrara, 44122, Italy; Research Department, King Khaled Eye Specialist Hospital, Riyadh, 11462, Saudi Arabia",Journal of Clinical Medicine,1,corneal transplantation; deep anterior lamellar keratoplasty; Microsporidium; penetrating keratoplasty; post-keratoplasty infection; stromal keratitis,False,Scopus,10.3390/jcm12113706,True,corneal transplantation; deep anterior lamellar keratoplasty; Microsporidium; penetrating keratoplasty; post-keratoplasty infection; stromal keratitis,amikacin; amphotericin B; ceftazidime; fumagillin; vancomycin; voriconazole; adult; antibiotic therapy; antiviral therapy; Article; case report; clinical article; clinical feature; clinical outcome; confocal microscopy; cornea edema; Descemet stripping endothelial keratoplasty; drug megadose; female; graft failure; histopathology; human; human tissue; keratoplasty; male; medical record review; Microsporidia; microsporidial keratitis; middle aged; nonhuman; penetrating keratoplasty; retrospective study; systemic therapy; topical treatment,corneal transplantation; deep anterior lamellar keratoplasty; microsporidium; penetrating keratoplasty; post-keratoplasty infection; stromal keratitis; amikacin; amphotericin b; ceftazidime; fumagillin; vancomycin; voriconazole; adult; antibiotic therapy; antiviral therapy; article; case report; clinical article; clinical feature; clinical outcome; confocal microscopy; cornea edema; descemet stripping endothelial keratoplasty; drug megadose; female; graft failure; histopathology; human; human tissue; keratoplasty; male; medical record review; microsporidia; microsporidial keratitis; middle aged; nonhuman; retrospective study; systemic therapy; topical treatment
"Spherical equivalent pre- and post-implantable collamer lens implantation in patients with myopia, hyperopia, and stable keratoconus",2023,"Alabbasi OM, Vargas J, Al Mutlak M, Fairaq R, Al Saleh A.",,Saudi J Ophthalmol,0,,True,PubMed,10.4103/SJOPT.SJOPT_130_22,True,Implantable collamer lens implantation; keratoconus; refractive errors,adult; anterior eye chamber depth; anterior eye segment; Article; astigmatism; clinical article; female; human; hypermetropia; keratoconus; lens implantation; male; medical record review; myopia; postoperative period; preoperative evaluation; retrospective study; spherical equivalent,implantable collamer lens implantation; keratoconus; refractive errors; adult; anterior eye chamber depth; anterior eye segment; article; astigmatism; clinical article; female; human; hypermetropia; lens implantation; male; medical record review; myopia; postoperative period; preoperative evaluation; retrospective study; spherical equivalent
Protective and pathogenic role of collagen subtypes genes COL4A3 and COL4A4 polymorphisms in the onset of keratoconus in South-Asian Pakistani cohort,2023,"Khashim Alswailmi F, Bokhari K, Aladaileh SH, A Alanezi A, Azam M, Ahmad A.",,Saudi J Biol Sci,0,,True,PubMed,10.1016/j.sjbs.2022.103503,True,COL4A3; COL4A4; Collagen subtype genes; Genetic polymorphisms; Keratoconus,,col4a3; col4a4; collagen subtype genes; genetic polymorphisms; keratoconus
An innovative approach based on machine learning to evaluate the risk factors importance in diagnosing keratoconus,2023,Zorto A.D.; Sharif M.S.; Wall J.; Brahma A.; Alzahrani A.I.; Alalwan N.,"Intelligent Technologies Research Group, UEL, University Way, London, E16 2RD, United Kingdom; Manchester University NHS Foundation Trust, Manchester Royal Eye Hospital, Oxford Rd, Manchester, M13 9WL, United Kingdom; Computer Science Department, Community College, King Saud University, Riyadh, 11437, Saudi Arabia",Informatics in Medicine Unlocked,7,"Deep learning; Keratoconus, machine learning, risk factors",False,Scopus,10.1016/j.imu.2023.101208,True,"Deep learning; Keratoconus, machine learning, risk factors",area under the curve; Article; autosomal dominant inheritance; clinical assessment; cornea stroma; cornea transplantation; corneal curvature; cross linking; decision making; deep learning; degradation kinetics; early diagnosis; echocardiography; health status; human; keratoconus; keratometry; machine learning; multilayer perceptron; ophthalmologist; optical coherence tomography; pachymetry; risk assessment; risk factor; X chromosome,"deep learning; keratoconus, machine learning, risk factors; area under the curve; article; autosomal dominant inheritance; clinical assessment; cornea stroma; cornea transplantation; corneal curvature; cross linking; decision making; degradation kinetics; early diagnosis; echocardiography; health status; human; keratoconus; keratometry; machine learning; multilayer perceptron; ophthalmologist; optical coherence tomography; pachymetry; risk assessment; risk factor; x chromosome"
Successful management of a retained host Descemet's membrane after penetrating keratoplasty (PKP) — A case report,2023,Albuainain A.; Aldofyan M.Z.; Otaif W.; Al-Muammar A.; Alsubki H.; Alkatan H.M.,"Eye and Laser Center, Bahrain Defense Force Hospital, Royal Medical Services, Military Hospital, Riffa, Bahrain; Department of Ophthalmology, College of Medicine, King Saud University, Riyadh, Saudi Arabia; King Saud University Medical City, King Saud University, Riyadh, Saudi Arabia; Department of Pathology and Laboratory Medicine, College of Medicine, King Saud University, Riyadh, Saudi Arabia",International Journal of Surgery Case Reports,0,Case report; Corneal decompensation; Descemet's membrane; Membranectomy; Penetrating keratoplasty; YAG laser,False,Scopus,10.1016/j.ijscr.2023.108595,True,Case report; Corneal decompensation; Descemet's membrane; Membranectomy; Penetrating keratoplasty; YAG laser,brimonidine; prednisolone acetate; aged; anterior eye chamber; Article; best corrected visual acuity; case report; cataract extraction; cell count; clinical article; clinical outcome; cornea tissue; Descemet membrane; diabetes mellitus; endothelium cell; follow up; histopathology; human; human tissue; intraocular pressure; keratectomy; keratopathy; lens implantation; male; membranectomy; optical coherence tomography; penetrating keratoplasty; phacoemulsification; specular microscopy; subcapsular cataract; vision,case report; corneal decompensation; descemet's membrane; membranectomy; penetrating keratoplasty; yag laser; brimonidine; prednisolone acetate; aged; anterior eye chamber; article; best corrected visual acuity; cataract extraction; cell count; clinical article; clinical outcome; cornea tissue; descemet membrane; diabetes mellitus; endothelium cell; follow up; histopathology; human; human tissue; intraocular pressure; keratectomy; keratopathy; lens implantation; male; optical coherence tomography; phacoemulsification; specular microscopy; subcapsular cataract; vision
Contribution of Posterior Corneal Astigmatism to Total Corneal Astigmatism among Saudi Population,2023,Fahmy R.; Alandas S.,"Department of Optometry, College of Applied Medical Science, King Saud University, Riyadh, Saudi Arabia; Department of Ophthalmology, Faculty of Medicine, Cairo University, Giza, Egypt",Open Ophthalmology Journal,0,Anterior corneal astigmatism; Corneal topography; Posterior corneal astigmatism; Refractive surgery; Toric IOL; Total corneal astigmatism; Vector analysis,False,Scopus,10.2174/0118743641267892231026102653,True,Anterior corneal astigmatism; Corneal topography; Posterior corneal astigmatism; Refractive surgery; Toric IOL; Total corneal astigmatism; Vector analysis,adult; Article; astigmatism; body meridian; cornea; cross-sectional study; emmetropia; eye axis length; eye examination; eye movement; female; human; intraocular pressure; keratometry; major clinical study; myopia; observational study; optical coherence tomography; physical parameters; posterior corneal astigmatism; refraction index; response surface method; Saudi Arabia; slit lamp microscopy; spherical equivalent; striate cortex; total corneal astigmatism,anterior corneal astigmatism; corneal topography; posterior corneal astigmatism; refractive surgery; toric iol; total corneal astigmatism; vector analysis; adult; article; astigmatism; body meridian; cornea; cross-sectional study; emmetropia; eye axis length; eye examination; eye movement; female; human; intraocular pressure; keratometry; major clinical study; myopia; observational study; optical coherence tomography; physical parameters; refraction index; response surface method; saudi arabia; slit lamp microscopy; spherical equivalent; striate cortex
Keratoconus epidemiology: A review,2022,Gomes J.A.P.; Rodrigues P.F.; Lamazales L.L.,"Department of Ophthalmology and Visual Sciences, Paulista Medical School, Federal University of São Paulo (EPM/UNIFESP), Sao Paulo, Brazil",Saudi Journal of Ophthalmology,61,Corneal ectasia; Epidemiology; Keratoconus; Prevalence; Risk factors,False,Scopus,10.4103/sjopt.sjopt_204_21,True,Corneal ectasia; Epidemiology; Keratoconus; Prevalence; Risk factors,,corneal ectasia; epidemiology; keratoconus; prevalence; risk factors
